time_s,speed_kmh,engine_temp_c,battery_v,vibration_g,fuel_pressure,true_anomaly,ai_anomaly,anomaly_score_norm
0,54.96714,20.0,12.140952,0.10520195,3.4933949,0,0,0.3759172154245507
1,48.931507,20.0,12.390639,0.11184714,3.39927,0,0,0.3842881227315623
2,57.10516,20.0,12.405405,0.10971138,3.465525,0,0,0.33619419567833697
3,66.17262,20.0,12.541789,0.12212639,3.6429462,0,0,0.3524134022732549
4,48.914738,20.0,11.989943,0.12017437,3.7555714,0,0,0.44045566502903755
5,49.22871,20.0,12.57777,0.14135745,3.6140974,0,0,0.38986227263337625
6,67.67584,20.0,11.588682,0.12741475,3.5203447,0,0,0.5046578865695914
7,59.871494,20.0,12.211035,0.098223224,3.7996023,0,0,0.5068309565272033
8,47.81559,20.0,12.253518,0.14670916,3.4374328,0,0,0.3853028574444215
9,58.24885,20.0,12.589998,0.11238263,3.706184,0,0,0.40414204609317195
10,48.501675,20.0,12.406789,0.12307643,3.4423873,0,0,0.3439883436981003
11,48.790817,20.0,11.978331,0.13332614,3.5862045,0,0,0.3992760598128341
12,56.179623,20.0,12.104502,0.13208203,3.4772875,0,0,0.34085407732807416
13,34.938667,20.0,12.459604,0.13935292,3.4888296,0,0,0.4088358113830256
14,37.133312,20.0,12.37628,0.12814672,3.4245226,0,0,0.39335439592185617
15,49.07016,20.0,12.226263,0.107308894,3.7689707,0,0,0.4654628713120713
16,44.874752,20.0,12.25575,0.16600862,3.3534148,0,0,0.461047496389385
17,58.455017,20.0,12.6088505,0.13311417,3.3519535,0,0,0.35635308813491684
18,46.5412,20.0,12.244692,0.1203238,3.9241986,0,1,0.5274220038960729
19,41.806686,20.0,12.373572,0.14018185,3.6955695,0,0,0.45148397054666056
20,70.89384,20.0,13.050981,0.14043593,3.0229774,0,1,0.5805323279606532
21,54.286533,20.0,11.972896,0.13512783,3.3869483,0,0,0.4005706128575427
22,57.525806,20.0,11.844447,0.17860658,3.137602,0,1,0.5849136228352245
23,42.908524,20.0,12.6350765,0.115951836,3.309862,0,0,0.3926578302538176
24,52.01687,20.0,12.196407,0.11965322,2.872297,0,0,0.4578989039834732
25,58.8738,20.0,12.304529,0.9194818,3.4726021,1,1,0.8239546573242065
26,46.55766,20.0,12.165653,0.14470915,3.2716117,0,0,0.426961371644499
27,62.126717,20.0,12.32206,0.10093268,3.511981,0,0,0.3652579718134259
